from_nodes,To_nodes,wight,type,keterangan,,,
V001,F001,1,Reply,indomaret komen di postingan @folkative,,,
N001,V001,1,Reply,pendekar_yapping  komen dipostingan @indomaret (pro),,,
N002,V001,1,Reply,jo_setiyono komen dipostingan @indomaret (pro),,,
N003,V001,1,Reply,phiix._ komen dipostingan @indomaret (pro),,,
N004,V001,1,Reply,m.aliframadhannn komen dipostingan @indomaret (pro),,,
N005,V001,1,Reply,iiamfaza komen dipostingan @indomaret (pro),,,
N006,V001,1,Reply,virgii4am komen dipostingan @indomaret (pro),,,
N007,V001,1,Reply,_nayaka.a komen dipostingan @indomaret (pro),,,
N008,V001,1,Reply,ardayardian komen dipostingan @indomaret (pro),,,
N009,V001,1,Reply,astrajingga____ komen dipostingan @indomaret (pro),,,
N010,V001,1,Reply,adittiya.r komen dipostingan @indomaret (pro),,,
N011,V001,1,Reply,rikiramadhan7 komen dipostingan @indomaret (pro),,,
N012,V001,1,Reply,fenryconk komen dipostingan @indomaret (pro),,,
N013,V001,1,Reply,aksanoise komen dipostingan @indomaret (pro),,,
N014,V001,1,Reply,clarastephs__ komen dipostingan @indomaret (pro),,,
N015,V001,1,Reply,kiimen__ komen dipostingan @indomaret (pro),,,
N016,V001,1,Reply,edwin23milanisti komen dipostingan @indomaret (pro),,,
N017,V001,1,Reply,jo_setiyono komen dipostingan @indomaret (pro),,,
N018,V001,1,Reply,edwin23milanisti komen dipostingan @indomaret (pro),,,
N019,V001,1,Reply,xelcioraden_ komen dipostingan @indomaret (pro),,,
N020,V001,1,Reply,riskarestiwi komen dipostingan @indomaret (pro),,,
N021,V001,1,Reply,khrs_404 komen dipostingan @indomaret (pro),,,
N022,V001,1,Reply,bengkuluinfo komen dipostingan @indomaret (pro),,,
N023,V001,1,Reply,nnatsu_drgneel komen dipostingan @indomaret (pro),,,
N024,V001,1,Reply,smkpgrilubuklinggau komen dipostingan @indomaret (pro),,,
N025,V001,1,Reply,helmyy.mjtb komen dipostingan @indomaret (pro),,,
N026,V001,1,Reply, komen dipostingan @indomaret (pro),,,
N027,V001,1,Reply,rdley_ komen dipostingan @indomaret (pro),,,
N028,V001,1,Reply,darrelzz_ komen dipostingan @indomaret (pro),,,
N029,V001,1,Reply,joni_om97 komen dipostingan @indomaret (pro),,,
N030,V001,1,Reply,rwdnii komen dipostingan @indomaret (pro),,,
N031,V001,1,Reply,firjattulloharibawa komen dipostingan @indomaret (pro),,,
N032,V001,1,Reply,khoirulakmj komen dipostingan @indomaret (pro),,,
N033,V001,1,Reply,angga.srrr komen dipostingan @indomaret (pro),,,
N034,V001,1,Reply,belalnt komen dipostingan @indomaret (pro),,,
N035,V001,1,Reply,arielprasetya komen dipostingan @indomaret (pro),,,
N036,V001,1,Reply,kasat1103 komen dipostingan @indomaret (pro),,,
N037,V001,1,Reply,selly_r21 komen dipostingan @indomaret (pro),,,
N038,V001,1,Reply,ichay_klemens komen dipostingan @indomaret (pro),,,
N039,V001,1,Reply,ooobeeet komen dipostingan @indomaret (pro),,,
,,,,,,,
,,,,,,,
