Nama,KOMENTAR,Likes,Label
tidaklama,Thankyou mimin! Doakan semoga proyek film kami selanjutnya sukses ya ,3.838 suka,Positif
polysilaneindonesia,"prouddd! tombol setuju pol filmnya dirilis ke publik, kepo!!",1.082 suka,Negatif
jeshuachristian,THANK YOUUU MIN ,3.065 suka,Hampir Positif
rbvioliz,"kan?mimpi tu gpp banget, Aku!!!",1.299 suka,Hampir Negatif
flay127,gabutnya produktif ,7.406 suka,Positif
mamadkurniawann,"Thankyou , Doain semoga kami terus berkarya dan produksi film lagi yaaa",194 suka,Negatif
argnrn,"emang yang iseng2 dan berawal dari gabut selalu membuahkan hasil. terus lah berkarya mau sekecil apapun, siapa tau mimpi kalian bisa terwujud berawal dari karya kecil itu",1.470 suka,Hampir Positif
sahkanuuperampasanaset,"Tidak punya tuksedo, si bro dengan bangganya memakai batik kondangan andalan, bukan hanya dari filmnya tetapi dia sudah membanggakan Indonesia lewat batiknya, respect bgt Der keren",27.230 suka,Positif
rasdrago_,"Disana aja bang asli, di Indo ga di hargain lau bang ",17.907 suka,Hampir Negatif
senadafilms,Thank you min??????semoga kami bisa melahirkan karya karya yg berimpact buat orang,250 suka,Positif
tehespanas,nanti klo pengen nasi padang gojekin dari sini gpp bg tpi jangan balik kesini.,86 suka,Negatif
isak.gelos,Jangan bawa nama Indonesia bro bawa nama sendri dan menyala ,66 suka,Hampir Positif
rxzaditya,Awas der kalo balik dipajakin,7.400 suka,Hampir Negatif
steph_niki_,"Jangan balik ke indo bang,di sana ajh dapet dollar",568 suka,Positif
saepudin8391,Kalau di Indonesia pasti kalah viral sama ratu tiktok Fuji,235 suka,Negatif
wwwhereareyewww,Kata gw kalo bikin bangga terus tenar mending bawa nama daerah jangan pake embel2 negara,85 suka,Hampir Positif
